iter	AUC	RMSE
0	0.7001558899	0.4182836807
1	0.7141377428	0.415115736
2	0.7212873564	0.4121985244
3	0.7236319244	0.4093507724
4	0.7265987848	0.4065964931
5	0.7325768795	0.4039474669
6	0.7398686134	0.4014188749
7	0.7407681162	0.3990906006
8	0.7411247528	0.396824187
9	0.7426154739	0.3946387025
10	0.7428116286	0.3927550587
11	0.7440395225	0.3908819331
12	0.7445473941	0.389181578
13	0.7445725214	0.3874438868
14	0.7446435361	0.3858036213
15	0.7445325643	0.3842927679
16	0.7449873858	0.3828658058
17	0.7449678166	0.38143003
18	0.7452999628	0.3800675466
19	0.7453572725	0.3788052955
20	0.7452509242	0.3776055582
21	0.7449826961	0.3764532318
22	0.7449496122	0.3754005942
23	0.7449388185	0.3743706522
24	0.7453625659	0.3733860313
25	0.7451717791	0.3724440494
26	0.7453923167	0.3716547584
27	0.745457492	0.3708203564
28	0.7455577281	0.3700213515
29	0.7456165183	0.3692714381
30	0.7458485856	0.3686144221
31	0.7461752812	0.3679031429
32	0.7463253914	0.3673347202333	0.7464648071	0.3667126465334	0.7464017822	0.3661250192335	0.7464900915	0.3655890039336	0.7465478974	0.3650791964337	0.7465001821	0.3645915113838	0.7466250657	0.3641758673939	0.7468453799	0.363773185440	0.7469594947	0.363318139
41	0.7469546562	0.362926197
42	0.7472303282	0.3625667755
43	0.7472256799	0.362192382
44	0.7471106635	0.3618365094
45	0.7472123305	0.3615525959
46	0.7472463077	0.3612457697
47	0.7472474656	0.3609508676
48	0.7472319824	0.360645934
49	0.7472540824	0.3603891968
50	0.7470397646	0.3601201051
51	0.7470673649	0.3598722332
52	0.7471279416	0.3596232666
53	0.7472464152	0.3593960298
54	0.7471376931	0.3591612537
55	0.7470039678	0.3589700729
56	0.7469157578	0.3587806394
57	0.7470572495	0.3585760362
58	0.7470799368	0.3583963328
59	0.7471345832	0.3582613576
60	0.7470193519	0.3581038227
61	0.7470907884	0.3579442073
62	0.7470944607	0.3577963907
63	0.7471000684	0.3576765055
64	0.7470481432	0.3575648716
65	0.7471542103	0.3574390751
66	0.7471754336	0.357314595
67	0.7471488755	0.3571852094
68	0.7471774187	0.3570617072
69	0.7471907432	0.3569345641
70	0.7473994285	0.3568294831771	0.7474115454	0.3567133589772	0.7475088122	0.3566244815773	0.7475984366	0.3565343205774	0.7476172614	0.3564349076775	0.7479017833	0.3563292724776	0.7479840548	0.3562475282777	0.7479983967	0.3561886307878	0.7479904814	0.3561060079	79	0.7479311536	0.3560341580	80	0.7479906716	0.355962181	081	0.7479677692	0.355884282	082	0.7480826036	0.355801983	083	0.7481284745	0.355748984	084	0.7481882406	0.355698485	085	0.748265533	0.3556299386	86	0.748440026	0.3555483208787	0.7484031953	0.3554891848888	0.7484208952	0.3554249989	89	0.7485679698	0.35536290	0.90	0.748547954	0.355309791	091	0.7486227568	0.355255292	092	0.7486121534	0.35520793	0.93	0.748826099	0.355140294	094	0.7488166536	0.355095995	095	0.7489767964	0.355030696	096	0.7492148188	0.355001797	097	0.7491733977	0.35496498	0.98	0.749221998	0.354920099	099	0.7495442356	0.3548698100100	0.7496827581	0.35482109101101	0.7497933991	0.35477114102102	0.7498646949	0.35472342103103	0.7500747284	0.35467161104104	0.750259651	0.35461661210105	0.7502760938	0.3545930637

