iter	Passed	Remaining
0	324	324413
1	764	381542
2	1103	366831
3	1423	354531
4	1786	355575
5	2097	347459
6	2412	342220
7	2776	344263
8	3120	343633
9	3639	360292
10	3960	356121
11	4316	355418
12	4676	355051
13	5050	355721
14	5405	354992
15	5762	354398
16	6081	351670
17	6557	357774
18	6901	356352
19	7264	355944
20	7730	360400
21	8085	359428
22	8385	356199
23	8837	359377
24	9154	357011
25	9504	356065
26	9850	354966
27	10244	355618
28	10723	359062
29	11050	357287
30	11387	355944
31	11730	354833
32	12048	353065
33	12374	351582
34	12786	352532
35	13108	351014
36	13439	349789
37	13867	351076
38	14178	349379
39	14580	349928
40	14948	349638
41	15311	349241
42	15774	351072
43	16236	352785
44	16585	351973
45	16954	351612
46	17391	352639
47	17788	352804
48	18208	353386
49	18538	352234
50	18812	350054
51	19131	348782
52	19463	347780
53	19770	346354
54	20083	345069
55	20386	343651
56	20715	342710
57	21066	342144
58	21398	341294
59	21711	340139
60	22029	339117
61	22337	337941
62	22652	336905
63	22943	335547
64	23262	334616
65	23596	333927
66	23905	332895
67	24238	332209
68	24562	331413
69	24877	330519
70	25222	330024
71	25529	329050
72	25856	328340
73	26181	327617
74	26509	326947
75	26798	325808
76	27115	325033
77	27444	324412
78	27758	323612
79	28083	322962
80	28414	322386
81	28731	321650
82	29063	321101
83	29385	320437
84	29723	319965
85	30054	319415
86	30388	318906
87	30721	318382
88	31036	317687
89	31363	317117
90	31690	316560
91	31944	315274
92	32277	314787
93	32535	313584
94	32863	313071
95	33172	312375
96	33501	311876
97	33840	311473
98	34162	310913
99	34491	310422
100	34802	309780
101	35138	309356
102	35457	308788
103	35775	308216
104	36096	307677
105	36406	307048
