iter	AUC	Logloss
0	0.6132477318	0.6773977332
1	0.6248071206	0.6627616445
2	0.6357783348	0.649191609
3	0.6455037318	0.6361885729
4	0.6441852126	0.6242475021
5	0.651996472	0.6132305431
6	0.6613765636	0.6023476433
7	0.6649768161	0.5921188168
8	0.6647104573	0.5828987432
9	0.6704733078	0.5738263764
10	0.67180712	0.5652387916
11	0.6743973363	0.5579630502
12	0.6754663115	0.5508081129
13	0.6749224446	0.5440735569
14	0.6751807806	0.5375794772
15	0.6750023589	0.5315329076
16	0.6756778668	0.5259229162
17	0.6803943881	0.5202332995
18	0.6821923597	0.5152064341
19	0.6846202579	0.5101980437
20	0.6854338747	0.5053789165
21	0.685542754	0.5016300668
22	0.6869003122	0.4975802395
23	0.6895919638	0.4941700831
24	0.6907096469	0.4905846142
25	0.6915349589	0.4876384957
26	0.6912453173	0.4846061566
27	0.6910385509	0.4820523262
28	0.6916517453	0.4797374857
29	0.6913708543	0.477246317
30	0.6923387085	0.4750742871
31	0.6924298878	0.4726677618
32	0.6933891154	0.4704484017
33	0.694096202	0.4681042392
34	0.6956133157	0.4661879358
35	0.6960187677	0.4641236772
36	0.6958223484	0.4624414473
37	0.6975749867	0.4607953457
38	0.6986553594	0.4592631092
39	0.6997325395	0.4576534033
40	0.6999955982	0.456379252
41	0.7018425093	0.454600967
42	0.7018504659	0.4532944537
43	0.703280387	0.4520691577
44	0.7033509054	0.4509544964
45	0.7041421906	0.4500683182
46	0.7040629794	0.4491344677
47	0.7052187256	0.4480629065
48	0.7070880675	0.4466532856
49	0.7084070416	0.4455055326
50	0.7085092544	0.4446288084
51	0.7090952124	0.4438959071
52	0.7092953868	0.4430255007
53	0.710451439	0.4419257352
54	0.7112562886	0.4409496149
55	0.7120806081	0.440053868
56	0.7123341469	0.4394147874
57	0.7127876285	0.4388264738
58	0.7133788385	0.4380218161
59	0.7147182006	0.4373884225
60	0.714985188	0.436821806
61	0.7151852714	0.4362063175
62	0.7156612004	0.4356887383
63	0.7158185559	0.4351413832
64	0.7163288675	0.4345962393
65	0.716893842	0.434015343
66	0.717492529	0.4333341176
67	0.7179390878	0.4328745992
68	0.7184928799	0.4323954322
69	0.7188500045	0.4319548348
70	0.7193988009	0.4314440593
71	0.7195424431	0.4310404778
72	0.7204546997	0.4303345917
73	0.7215979815	0.429599503
74	0.7218629922	0.4291308514
75	0.722206999	0.4287068642
76	0.7226240717	0.4281947005
77	0.7231126058	0.4278046674
78	0.7233038888	0.4274998756
79	0.7236902927	0.4271592085
80	0.7237724733	0.4268932129
81	0.7243611524	0.4265824837
82	0.724897807	0.4262561422
83	0.7251110082	0.4259407804
84	0.7254016506	0.4256940549
85	0.7256823017	0.4252920106
86	0.7260452822	0.4249806356
87	0.7267593164	0.424605291
88	0.7270446985	0.4243939243
89	0.7278385973	0.4240062945
90	0.7282469524	0.4237555678
91	0.7285309284	0.4236026717
92	0.7289356773	0.4232014422
93	0.7293783736	0.4230117321
94	0.7295001307	0.4228280284
95	0.730045503	0.4223578057
96	0.7302093181	0.4221753802
