iter	AUC	RMSE
0	0.6874301226	0.4187716585
1	0.6976041313	0.4161850127
2	0.6971048928	0.4137641829
3	0.6968453262	0.4113141356
4	0.6977063105	0.4090328194
5	0.701491602	0.4068792707
6	0.7036192562	0.4047436779
7	0.7067069686	0.402655146
8	0.7065806814	0.4006371667
9	0.7054638731	0.3988692024
10	0.7091063064	0.3970022428
11	0.7092459223	0.3954260696
12	0.709716847	0.3937803668
13	0.7107043556	0.3922725583
14	0.7120759616	0.3908754776
15	0.7123159335	0.3895189741
16	0.7137968851	0.3881306735
17	0.7147005679	0.3868319814
18	0.7158167203	0.3855168745
19	0.7163510684	0.3844131177
20	0.7170927467	0.3833900302
21	0.7173257115	0.3823554469
22	0.7183065798	0.381443045
23	0.718426727	0.3805300754
24	0.7193207829	0.3795858104
25	0.7199710353	0.3786680173
26	0.7212851023	0.3777611593
27	0.722074348	0.3770101033
28	0.722257296	0.3763356135
29	0.722843736	0.3755281941
30	0.7232785988	0.374923288
31	0.7248635675	0.3741631573
32	0.7248368916	0.3735918861
33	0.7259190647	0.3728885079
34	0.7260799575	0.3723558547
35	0.726451434	0.3717573156
36	0.7268151734	0.3712561582
37	0.7270715903	0.3707923919
38	0.7280281654	0.3703003063
39	0.7289218766	0.3697924974
40	0.7295771648	0.3693292512
41	0.7297102368	0.3688890568
42	0.7302589288	0.3684257289
43	0.7310073511	0.3680307708
44	0.7318642556	0.3676679463
45	0.7319581345	0.3673390557
46	0.7321925371	0.3670419496
47	0.7331164815	0.36669414
48	0.73343345	0.3664077374
49	0.7340329705	0.3660277595
50	0.7344956319	0.3657093555
51	0.7351820241	0.3653074323
52	0.7351848958	0.3651050633
53	0.7357517745	0.3648440138
54	0.7366025908	0.3645183722
55	0.7366955174	0.3642805717
56	0.7373069325	0.3639573161
57	0.7374743359	0.3637744597
58	0.7377109988	0.3635481316
59	0.7380832609	0.3633437655
60	0.7386440291	0.3630936949
61	0.7388966665	0.3629012996
62	0.7390678532	0.3627917622
63	0.7396488647	0.3626053681
64	0.7402538618	0.3624350141
65	0.7409688345	0.3622577956
66	0.7411429412	0.362071834
67	0.7412270005	0.3619271972
68	0.7418803025	0.3616681065
69	0.7425523173	0.3615061763
70	0.7429397201	0.3612839971
71	0.7434369093	0.3610456678
72	0.7439894218	0.3608946409
73	0.744367168	0.3606878945
74	0.7445775218	0.3605412676
75	0.7447806277	0.360453914
76	0.7450240495	0.3603284946
77	0.7454093549	0.3601207206
78	0.745789958	0.3599788407
79	0.7462973041	0.3597957483
80	0.7469800575	0.3596455538
81	0.7470625938	0.3595054142
82	0.7473476506	0.3593804708
83	0.7475866406	0.3592529268
84	0.7478341977	0.3591595478
85	0.7483446971	0.359020695
86	0.7487533324	0.3588731381
87	0.7493060671	0.3587548997
88	0.7499025898	0.3586091274
89	0.7499108901	0.3585685735
90	0.7504724403	0.3583823514
91	0.7507031447	0.3583075901
92	0.751097788	0.3582103009
93	0.7513377711	0.3581259426
94	0.751866194	0.3579918444
95	0.7520077219	0.3579113122
96	0.7522748849	0.3578273064
97	0.7523638095	0.3577686082
98	0.7526762128	0.3576628699
99	0.7529681656	0.3575276274
100	0.7531820841	0.3574093706
101	0.7534182913	0.357341001
102	0.7535714841	0.3572631306
103	0.75389055	0.3571602041
104	0.754066791	0.3570716723
105	0.7547059269	0.3569407874
106	0.7550102078	0.3568403635
107	0.7552782045	0.3567185917
108	0.7556703577	0.3566535717
109	0.7559739197	0.3565477077
110	0.7561229772	0.3564909236
111	0.7561972873	0.3564106653
112	0.7563961764	0.3563485571
113	0.7567847574	0.3562105986
114	0.7571101338	0.3561374384
115	0.7573574018	0.3560547906
116	0.7576064708	0.3559809231
117	0.7578357487	0.3559000942
118	0.758067524	0.355810521
119	0.7582151364	0.355756711
120	0.7587183953	0.3556546868
121	0.7590683798	0.3555594787
122	0.7593642159	0.3554811228
123	0.7596250017	0.3554120638
124	0.7599123929	0.3553529435
125	0.7600956596	0.355285029
126	0.760408993	0.3551905326
127	0.7607016164	0.3550637621
128	0.7610337998	0.3549411456
129	0.761359165	0.354841987
130	0.7616090714	0.3547846296
131	0.7617868243	0.3547253551
132	0.7621452944	0.3546482358
133	0.7622906909	0.3546029439
134	0.7625496461	0.3545455198
135	0.7627685449	0.3544585143
136	0.7629780465	0.3544117989
137	0.7634247224	0.3542773803
138	0.7635928113	0.3542311522
139	0.7638963882	0.3541372229
140	0.7642850137	0.3540072172
141	0.7644137502	0.3539564134
142	0.7646110534	0.3538827424
143	0.7649659366	0.3537843387
144	0.7653076875	0.353710975
145	0.7657726538	0.353642645
146	0.7662938436	0.353479406
147	0.7667017378	0.3533616242
148	0.7668022828	0.3533151744
149	0.7672607126	0.3532165169
150	0.7676265419	0.3531404175
151	0.7678848079	0.3530951965
152	0.7683229834	0.3529639381
153	0.7685946929	0.3528653701
154	0.7689123655	0.352792373
155	0.7692684938	0.3527251472
156	0.7697806163	0.3526116767
157	0.7699807726	0.352527072
158	0.770339102	0.352457166
159	0.7705606539	0.3523935043
160	0.7707660424	0.3523533822
161	0.7709826067	0.3523095263
162	0.771460394	0.3522283446
163	0.7717274753	0.3521683181
164	0.7721919006	0.3520603383
165	0.7724652851	0.3519964164
166	0.7726349007	0.3519438927
167	0.7727112858	0.3518991802
168	0.7728692143	0.3518607733
169	0.7730824288	0.3518101016
170	0.7732769528	0.3517456121
171	0.7735670046	0.3516886946
172	0.773789809	0.3516295284
173	0.7741535261	0.3515766113
174	0.7745256473	0.3515054836
175	0.7746510118	0.3514841818
176	0.774981172	0.351398882
177	0.7753797134	0.3513106495
178	0.7757643074	0.3512439011
179	0.7759597503	0.3512009567
180	0.7761362878	0.3511398173
181	0.7762899623	0.3510827964
182	0.7765849202	0.3509909211
183	0.7767469543	0.3509503868
184	0.7767948887	0.3509172514
185	0.7780584127	0.3507158523
186	0.7784088196	0.350636532
187	0.7785345177	0.3506039453
188	0.778812986	0.350540775
189	0.7791833805	0.350449148
190	0.7793981217	0.3503973583
191	0.779505433	0.3503733687
192	0.7797818226	0.3503134167
193	0.7800692361	0.3502431177
194	0.7804777602	0.3501274674
195	0.7808594045	0.3500366088
196	0.7810745311	0.3499413091
197	0.7814101717	0.3498765694
198	0.7816671333	0.3498166759
199	0.7819265703	0.3497520773
200	0.7823035717	0.3496660627
201	0.7824847484	0.3496167402
202	0.7826936794	0.3495633992
203	0.782915613	0.3495145753
204	0.7830373535	0.3494712228
205	0.7832606173	0.3494181691
206	0.7837681079	0.3493025544
207	0.783984461	0.349256239
208	0.7842264524	0.3491994336
209	0.7845876499	0.3491322299
210	0.7851036409	0.3490010793
211	0.7852806971	0.3489340955
212	0.7857431436	0.3488479633
213	0.7861867069	0.348757956
214	0.7865838921	0.3486739212
215	0.7866819397	0.3486432507
216	0.7870493698	0.3485583964
217	0.7873646783	0.3484905482
218	0.78754773	0.3484352927
219	0.7881993498	0.348311821
220	0.7884701774	0.3482526408
221	0.7886387036	0.3481912316
222	0.7888174273	0.3481508897
223	0.7892707064	0.3480565867
224	0.7895296024	0.3479948807
225	0.7897962428	0.3479283257
226	0.789984586	0.3478763257
227	0.7902365452	0.3478207768
228	0.7907351575	0.347726955
229	0.7909605631	0.3476774704
230	0.7911866765	0.3475815021
231	0.7914689615	0.3475298006
232	0.7918088894	0.3474242894
233	0.7918612481	0.3474048904
234	0.7921458528	0.3473395993
235	0.7922692386	0.3473001117
236	0.7924037705	0.3472597097
237	0.7925777215	0.3472208582
238	0.7927964498	0.3471372339
239	0.7929769892	0.3470810912
240	0.7931415505	0.3470505988
241	0.7937819649	0.3468873947
242	0.7941960916	0.3467872947
243	0.7944498666	0.3467321075
244	0.7946353491	0.3466792808
245	0.7946353565	0.3466792665
246	0.7949384146	0.346607482
247	0.7951647615	0.3465429482
248	0.7953974039	0.3464966388
249	0.7955964486	0.3464363296
250	0.7957986875	0.3463858821
251	0.7959267644	0.3463538348
252	0.7960753994	0.3463032088
253	0.7962260355	0.3462628758
254	0.7964560507	0.3462086428
255	0.7966119597	0.346158896
256	0.796804579	0.3461216229
257	0.7969381401	0.3460829987
258	0.7970457034	0.3460517264
259	0.7972768525	0.3459841099
260	0.7977306356	0.3458954809
261	0.7980022488	0.3458311956
262	0.798322619	0.3457582919
263	0.7985384348	0.3457089554
264	0.7991274316	0.3455708518
265	0.7992265908	0.3455208292
266	0.7994343508	0.345476896
267	0.7995761455	0.345438343
268	0.8000079031	0.3453270509
269	0.8002698227	0.3452471717
270	0.8003442588	0.3452182648
271	0.8006379568	0.3451409715
272	0.800955622	0.3450765727
273	0.8011168632	0.3450368717
274	0.8012994332	0.3449945788
275	0.8016630096	0.3449225366
276	0.8019103666	0.3448516177
277	0.8021483709	0.3447975629
278	0.8024434473	0.344715835
279	0.8026027468	0.3446673318
280	0.8028667341	0.3446113925
281	0.8030801339	0.3445661108
282	0.8031380583	0.3445431479
283	0.8032511576	0.3445176212
