iter	Passed	Remaining
0	811	451368
1	1252	347686
2	1697	313494
3	2496	345132
4	3256	359497
5	4026	369796
6	4876	383126
7	5638	386946
8	6431	391630
9	7251	396631
10	8070	400594
11	8823	400755
12	9867	412902
13	10989	426230
14	11923	430832
15	12847	434389
16	13606	432211
17	14721	440831
18	15484	438454
19	16340	438734
20	17189	438732
21	18014	438076
22	18725	434755
23	19470	432408
24	20228	430461
25	21307	435165
26	22294	437636
27	23498	443954
28	24487	445839
29	25464	447320
30	26717	453328
31	27641	453499
32	28475	452164
33	29294	450618
34	30433	453887
35	31346	453658
36	32140	451705
37	33088	451912
38	33910	450402
39	34664	448033
40	35452	446184
41	36259	444609
42	37140	443961
43	37960	442586
44	38829	441796
45	39823	442382
46	40639	440984
47	41495	440026
48	42362	439182
49	43134	437385
50	43888	435438
51	44643	433560
52	45369	431441
53	46116	429569
54	46869	427791
55	47686	426623
56	48518	425601
57	49309	424232
58	50217	423869
59	50977	422263
60	51721	420553
61	52465	418878
62	52653	412872
63	53435	411619
64	54210	410329
65	55026	409367
66	55804	408121
67	56608	407080
68	57357	405656
69	58198	404892
70	59005	403895
71	59732	402363
72	60515	401228
73	61259	399844
74	61996	398430
75	62216	393765
76	62452	389313
77	63256	388461
78	64343	389317
79	65330	389532
80	66111	388504
81	66974	387961
82	68110	388965
83	68892	387929
84	69678	386917
85	70476	385981
86	71671	387193
87	72586	386851
88	73362	385770
89	73479	381276
90	74248	380217
91	75016	379158
92	75791	378143
93	76610	377348
94	77400	376412
95	77850	373842
96	78596	372726
97	78920	369635
98	79700	368713
99	80452	367667
100	81231	366746
101	81967	365641
102	82717	364600
103	83461	363539
104	84277	362792
105	85033	361794
106	85776	360741
107	86522	359711
108	87285	358751
109	88062	357855
110	88802	356810
111	89525	355704
112	90242	354581
113	91354	355001
114	92388	355093
115	93644	356011
116	94491	355353
117	95436	355055
118	96176	353994
119	96478	351343
120	97337	350738
121	98208	350169
122	99349	350551
123	100428	350690
124	101231	349854
125	101969	348800
126	102768	347956
127	103529	346984
128	104267	345940
129	105022	344958
130	105796	344040
131	106672	343452
132	107403	342400
133	108222	341629
134	109032	340828
135	109814	339939
136	110680	339312
137	111459	338416
138	112235	337514
139	113025	336653
140	113832	335846
141	114623	334992
142	115357	333973
143	116198	333263
144	116975	332372
145	117792	331594
146	118612	330823
147	119394	329947
148	120105	328880
149	120851	327909
150	121585	326911
151	122359	326022
152	123132	325134
153	123883	324187
154	124625	323221
155	125363	322248
156	126392	322018
157	127154	321106
158	127916	320194
159	128704	319346
160	129475	318461
161	130309	317729
162	131139	316987
163	131889	316051
164	132698	315258
165	133439	314306
166	134297	313628
167	135459	313654
168	136506	313399
169	137543	313114
170	138456	312539
171	139253	311701
172	140050	310864
173	140857	310047
174	141768	309459
175	141925	307235
176	142699	306360
177	143409	305349
178	144160	304427
179	145024	303744
180	145776	302828
181	146499	301853
182	147212	300860
183	147932	299885
184	148660	298927
185	149419	298034
186	150135	297059
187	151040	296457
188	151763	295497
189	152547	294658
190	153303	293764
191	154061	292877
192	154819	291990
193	155542	291041
194	156270	290101
195	157017	289200
196	157755	288284
197	158466	287319
198	159202	286404
199	159942	285497
200	160689	284604
201	161436	283712
202	162127	282724
203	162863	281817
204	163599	280911
205	164501	280291
206	165361	279596
207	166211	278883
208	166946	277978
209	167705	277114
210	168436	276203
211	169474	275795
212	170621	275558
213	171404	274728
214	172230	273967
215	173196	273426
216	174011	272644
217	174927	272020
218	175785	271304
219	176862	270921
220	177933	270523
221	178742	269723
222	179558	268934
223	180337	268090
224	181100	267223
225	181888	266393
226	182648	265523
227	183449	264714
228	184219	263859
229	185054	263099
230	185810	262226
231	186573	261364
232	187364	260541
233	188180	259752
234	188941	258890
235	189767	258115
236	190684	257463
237	191504	256679
238	192279	255835
239	193069	255012
240	193902	254245
241	194871	253655
242	196139	253447
243	196950	252645
244	198102	252277
245	198215	250590
246	199478	250357
247	200620	249966
248	201461	249197
249	202404	248552
250	203243	247778
251	203961	246857
252	204732	246002
253	205582	245241
254	206308	244333
255	207206	243630
256	207978	242775
257	208861	242052
258	210126	241767
259	211137	241184
260	212094	240535
261	212981	239807
262	213953	239172
263	215141	238773
264	215980	237985
265	216735	237105
266	217641	236389
267	218631	235763
268	219738	235259
269	220580	234468
270	221383	233637
271	222158	232775
272	222885	231866
273	223616	230961
274	224418	230131
275	225180	229260
276	225929	228376
277	226660	227475
278	227693	226877
279	228455	226007
280	229187	225109
281	229956	224248
282	230697	223360
283	231481	222516
284	232233	221640
285	232950	220732
286	233733	219889
287	234484	219015
288	235528	218413
289	236552	217791
290	237590	217178
291	238783	216704
292	239860	216119
293	240638	215264
294	241617	214588
295	242367	213709
296	243110	212824
297	243962	212034
298	244831	211259
299	245907	210660
300	246642	209768
301	247361	208864
302	248107	207984
303	248858	207109
304	249602	206228
305	250331	205337
306	251087	204468
307	251836	203595
308	252573	202712
309	253314	201834
310	254066	200965
311	254805	200087
312	255542	199208
313	256290	198339
314	257040	197472
315	257873	196669
316	258661	195832
317	259440	194988
318	260257	194173
319	261021	193318
320	261781	192462
321	262532	191600
322	263276	190732
323	264035	189877
324	264787	189017
325	265528	188150
326	266275	187288
327	267025	186429
328	267755	185556
329	268509	184701
330	269246	183836
331	269988	182974
332	270732	182114
333	271485	181261
334	272208	180388
335	272951	179530
336	273698	178675
337	274417	177802
338	275142	176935
339	276090	176210
340	277329	175669
341	278490	175074
342	279387	174311
343	280637	173767
344	281381	172906
345	282104	172034
346	282959	171243
347	283667	170363
348	284390	169493
349	285113	168624
350	285844	167760
351	286564	166891
352	287307	166036
353	288022	165165
354	288766	164312
355	289508	163458
356	290240	162599
357	290976	161744
358	291671	160866
359	292410	160013
360	293457	159328
361	294458	158617
362	295514	157933
363	296235	157070
364	297393	156437
365	298228	155632
366	299084	154839
367	299789	153967
368	300497	153099
369	301212	152234
370	301937	151375
371	302674	150523
372	303367	149650
373	304096	148795
374	304810	147934
375	305693	147155
376	306850	146506
377	307814	145763
378	308840	145049
379	309780	144292
380	310972	143651
381	311945	142907
382	312935	142169
383	313861	141401
384	314971	140714
385	315861	139928
386	316615	139081
387	317317	138213
388	318386	137503
389	319780	136931
390	320718	136161
391	321432	135296
392	322644	134640
393	323453	133814
394	324398	133044
395	325176	132205
396	326203	131467
397	327238	130731
398	328344	130021
399	329066	129158
400	330080	128410
401	331084	127657
402	332185	126939
403	333129	126160
404	333897	125314
405	334826	124528
406	335704	123724
407	336450	122870
408	337172	122008
409	337891	121146
410	338617	120287
411	339314	119418
412	340017	118553
413	340738	117694
414	341462	116837
415	342193	115983
416	342939	115135
417	343662	114280
418	344397	113429
419	345105	112570
420	345839	111720
421	346558	110865
422	347267	110009
423	347987	109156
424	348705	108303
425	349401	107444
426	350118	106593
427	350841	105744
428	351594	104904
429	352344	104064
430	353111	103229
431	353888	102398
432	354643	101560
433	355374	100716
434	356094	99870
435	356844	99032
436	357583	98192
437	358322	97352
438	359055	96511
439	359776	95667
440	360518	94830
441	361254	93991
442	361986	93152
443	362721	92314
444	363423	91468
445	364154	90630
446	364887	89793
447	365595	88950
448	366324	88113
449	367038	87273
450	367757	86435
451	368452	85591
452	369176	84755
453	369883	83916
454	370614	83082
455	371350	82250
456	372073	81416
457	372775	80578
458	373496	79744
459	374211	78909
460	374932	78077
461	375669	77248
462	376388	76415
463	377110	75584
464	377835	74754
465	378568	73926
466	379270	73092
467	380004	72265
468	380731	71437
469	381458	70610
470	382172	69781
471	382901	68954
472	383600	68123
473	384299	67292
474	385001	66463
475	385722	65637
476	386455	64814
477	387152	63985
478	387868	63160
479	388597	62337
480	389308	61512
481	390034	60690
482	390754	59867
483	391457	59042
484	392164	58218
485	392889	57397
486	393625	56578
487	394340	55757
488	395038	54933
489	395745	54112
490	396473	53293
491	397193	52474
492	397917	51656
493	398646	50839
494	399358	50020
495	400078	49203
496	400807	48387
497	401544	47572
498	402245	46754
499	402963	45937
500	403698	45123
501	404422	44309
502	405157	43496
503	405868	42680
504	406595	41867
505	407313	41053
506	408029	40239
507	408748	39426
508	409474	38614
509	410191	37801
510	410921	36990
511	411628	36178
512	412339	35366
513	413060	34555
514	413790	33746
515	414521	32936
516	415223	32125
517	415948	31316
518	416654	30506
519	417363	29697
520	418090	28889
521	418802	28080
522	419529	27273
523	420245	26465
524	420973	25659
525	421707	24853
526	422456	24048
527	423189	23243
528	423915	22437
529	424628	21632
530	425350	20826
531	426075	20022
532	426787	19217
533	427506	18413
534	428225	17609
535	428956	16806
536	429684	16003
537	430398	15199
538	431125	14397
539	431817	13594
540	432522	12791
541	433245	11990
542	433966	11188
543	434666	10387
544	435405	9586
545	436127	8786
546	436845	7986
547	437570	7186
548	438292	6386
549	439007	5587
550	439731	4788
551	440462	3989
552	441166	3191
553	441878	2392
554	442615	1595
555	443355	797
556	444089	0
